"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x483077571","x1105114023299895297",2019-03-11 14:31:29,"acr810","@ItsJeffHudson Thank heavens I work from home! It's bad enough that we are vacation central for flu and cold season. Yes, wash your hands! Cover your coughs and sneezes! VOTE FOR BETTER LAWS MANDATING PAID SICK DAYS FOR EVERYONE! 
I hope all y'all feel better soon!","Twitter for Android",250,"x1105084863684771845","x711708804707196928","ItsJeffHudson",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x711708804707196928","ItsJeffHudson","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/acr810/status/1105114023299895297","Compassionate Crab","Palm Beach County, FL","Proud flaming liberal. Military family. VOTE!  #Resist, #theresistance, #shepersisted #veteransagainsttrump",,FALSE,2576,3246,20,117473,57087,2012-02-04 16:27:44,FALSE,,,"en","https://pbs.twimg.com/profile_banners/483077571/1541861438","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/838571442836910080/jpVllbwd_normal.jpg",,
"x748150488","x1105112855156789249",2019-03-11 14:26:51,"mischieffactory","OK cold and flu season I've had enough of your shenanigans in my house this year BE GONE THEE DEMON!!!!! https://t.co/00CbjihJWE","Twitter Web Client",104,,,,FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/tweet_video_thumb/D1YmIyIWwAQKkYp.jpg","https://t.co/00CbjihJWE","https://twitter.com/mischieffactory/status/1105112855156789249/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/D1YmIyIWwAQKkYp.jpg","https://t.co/00CbjihJWE","https://twitter.com/mischieffactory/status/1105112855156789249/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mischieffactory/status/1105112855156789249","david spencer","ohio","I am a children's artist
a friggin' fun guy, scissor kick enthusiast & best dad ever.   The Epic Adventures of Huggie & Stick
agent contact: john@foliolit.com","https://t.co/eVbD58N3Aj",FALSE,376,557,10,3728,5353,2012-08-09 23:28:01,FALSE,"https://t.co/eVbD58N3Aj","http://www.mischief-factory.com","en","https://pbs.twimg.com/profile_banners/748150488/1551710090","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1102577885989269505/PPICnWCv_normal.png",,
"x3142570386","x1105106628616032256",2019-03-11 14:02:06,"CarlisleMacKid","An updated look at this season's flu activity, and what you can do at home to help prevent and control the spread of the flu. Plus there's an interactive map that will show you flu activity and predictions... https://t.co/2ywKcCHl1x","Facebook",232,,,,FALSE,FALSE,0,0,,,"strollertraffic.com/2019/01/18/upd…","https://t.co/2ywKcCHl1x","https://strollertraffic.com/2019/01/18/updates-on-the-2019-flu-season",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CarlisleMacKid/status/1105106628616032256","Mac Kid Carlisle","Carlisle, PA","","https://t.co/Tg35No6VIz",FALSE,682,1681,12,3603,1417,2015-04-06 22:06:55,FALSE,"https://t.co/Tg35No6VIz","https://carlisle.macaronikid.com","en","https://pbs.twimg.com/profile_banners/3142570386/1495568745","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/867103218303721473/7bdgyHSi_normal.jpg",,
"x829804637070856192","x1105106556344037378",2019-03-11 14:01:49,"coastradioKCST","OSP Pursuit Leads To Florence; Rotary Auction; School Board; OCHS Request; Flu Season Not Done https://t.co/PcX3eh0wmj https://t.co/FVVwG2NADt","WordPress.com",118,,,,FALSE,FALSE,0,0,,,"kcfmradio.com/2019/03/11/osp…","https://t.co/PcX3eh0wmj","https://kcfmradio.com/2019/03/11/osp-pursuit-leads-to-florence-rotary-auction-school-board-ochs-request-flu-season-not-done/","http://pbs.twimg.com/media/D1YgjlSXcAAgsqk.jpg","https://t.co/FVVwG2NADt","https://twitter.com/coastradioKCST/status/1105106556344037378/photo/1","photo","http://pbs.twimg.com/media/D1YgjlSXcAAgsqk.jpg","https://t.co/FVVwG2NADt","https://twitter.com/coastradioKCST/status/1105106556344037378/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/coastradioKCST/status/1105106556344037378","Coast Radio","Florence, OR","Coast Radio - Florence
KCST 106.9 FM

KCFM 104.1 FM - 1250 AM - 103.1 FM (in Mapleton)

https://t.co/8B9q0dP2Tp",,FALSE,104,374,6,762,4,2017-02-09 21:30:17,FALSE,,,"en","https://pbs.twimg.com/profile_banners/829804637070856192/1486676822",,"http://pbs.twimg.com/profile_images/867800585281601536/Octe_jYN_normal.jpg",,
"x538042858","x1105106232480854018",2019-03-11 14:00:32,"DCHospitalAssoc","Have you gotten your flu shot yet? Peak flu season lasts through March in the U.S. https://t.co/BXIJeghws8 #UnitedAgainstFlu","Twitter Web Client",124,,,,FALSE,FALSE,0,0,"UnitedAgainstFlu",,"ow.ly/xEV930nWLtN","https://t.co/BXIJeghws8","http://ow.ly/xEV930nWLtN",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DCHospitalAssoc/status/1105106232480854018","DCHA","Washington, DC","The District of Columbia Hospital Association (DCHA) is a membership organization that advocates for DC hospitals as they support the interests of the community","http://t.co/wktEhxFZ8X",FALSE,548,380,27,754,133,2012-03-27 10:20:10,FALSE,"http://t.co/wktEhxFZ8X","http://www.dcha.org","en","https://pbs.twimg.com/profile_banners/538042858/1539366196","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1088086409171402753/jMT-bY4Y_normal.jpg",,
"x1006334607946649600","x1105104095705092096",2019-03-11 13:52:02,"feed_stocks","IRI Finds Current Flu Season Starting Earlier, Lasting Longer and Affecting Fewer https://t.co/YUn9EGecXd","dlvr.it",105,,,,FALSE,FALSE,0,0,,,"dlvr.it/R0c0Xq","https://t.co/YUn9EGecXd","http://dlvr.it/R0c0Xq",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/feed_stocks/status/1105104095705092096","Stocks News Feed","Florida, USA","Follow us for Stock Market News, Press Release and Information that affect Stocks and Trading.","https://t.co/1oLttaGrq3",FALSE,161,80,2,50022,19,2018-06-12 00:37:22,FALSE,"https://t.co/1oLttaGrq3","http://stocksnewsfeed.com","en","https://pbs.twimg.com/profile_banners/1006334607946649600/1548935956","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1006335249226268672/R33dqHcO_normal.jpg",,
"x390731779","x1105102236059877377",2019-03-11 13:44:39,"statesdj","@ABatemanHouse “We’re in a crowded poorly ventilated subway car in the middle of flu season &amp; you didn’t get vaccinated which means you’re at increased risk for spreading flu to all the rest of us. The very least you could do is keep your mouth shut.”

Ducks for cover &amp; hopes trains moves soon","Tweetbot for iΟS",287,"x1105098102137110529","x2746763725","ABatemanHouse",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x2746763725","ABatemanHouse","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/statesdj/status/1105102236059877377","David States","Ann Arbor, MI USA","Chief Medical Officer
Pharma/Biotechnology
Comments and opinions my own.","https://t.co/xl3M8hriHp",FALSE,1401,845,131,33688,19967,2011-10-14 13:25:23,FALSE,"https://t.co/xl3M8hriHp","http://healthcare.davidstates.net","en","https://pbs.twimg.com/profile_banners/390731779/1485360179","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/756591113603981312/vsCtDcAv_normal.jpg",,
"x100363105","x1105102001350807552",2019-03-11 13:43:43,"adapadvocacy","Flu May Have Peaked, but Experts Eye Jump in Nastier Strain https://t.co/BZhHGB7Lef","Twitter Web Client",83,,,,FALSE,FALSE,0,0,,,"nyti.ms/2SUjtlc","https://t.co/BZhHGB7Lef","https://nyti.ms/2SUjtlc",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/adapadvocacy/status/1105102001350807552","ADAPs","Washington, DC","The ADAP Advocacy Association (aaa+) promotes the AIDS Drug Assistance Programs (ADAPs) and improves access to care for persons living with HIV/AIDS.","https://t.co/YcjXfBwf07",FALSE,4980,1429,115,7635,1875,2009-12-30 00:54:29,FALSE,"https://t.co/YcjXfBwf07","http://www.adapadvocacy.org","en","https://pbs.twimg.com/profile_banners/100363105/1407444251","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/689925644210167808/l4qCIfWB_normal.png",,
"x4758813012","x1105100860210606081",2019-03-11 13:39:11,"bambipatrixie","Breaking out of my Twitter hiatus (and my fucked-up flu) just to show my love for this gem.

Saw him on this season's @AmericanIdol and I. AM. IN. AWE.

Alejandro Aranda. Eres asombroso. We need more people like you.

https://t.co/Ro2f8JYwRT","Twitter Web App",241,,,,FALSE,FALSE,0,0,,,"youtu.be/LNEN3K7mJhs","https://t.co/Ro2f8JYwRT","https://youtu.be/LNEN3K7mJhs",,,,,,,,,"x62988756","AmericanIdol","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bambipatrixie/status/1105100860210606081","Trixie Martinez","PHL","[Bambi Patricia M. Ballesteros]","https://t.co/edz80YEbvD",FALSE,32,67,0,401,919,2016-01-14 16:36:42,FALSE,"https://t.co/edz80YEbvD","https://ask.fm/bambipatrixie","en","https://pbs.twimg.com/profile_banners/4758813012/1483603573","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1049854489195245569/MeGHPVxm_normal.jpg",,
"x1096548199","x1105098613145944064",2019-03-11 13:30:15,"MDLIVEInc","A friendly reminder from our doctors, Vitamin C, is a great antioxidant especially during #cold and #flu season, are you getting enough in your diet? #MDLIVE #stayhealthy https://t.co/mu1N3fYWff","Sprout Social",170,,,,FALSE,FALSE,1,1,"cold flu MDLIVE stayhealthy",,,,,"http://pbs.twimg.com/media/D1YZVKhW0AAowGc.jpg","https://t.co/mu1N3fYWff","https://twitter.com/MDLIVEInc/status/1105098613145944064/photo/1","photo","http://pbs.twimg.com/media/D1YZVKhW0AAowGc.jpg","https://t.co/mu1N3fYWff","https://twitter.com/MDLIVEInc/status/1105098613145944064/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MDLIVEInc/status/1105098613145944064","MDLIVE","Sunrise, FL","#MDLIVE is a pioneer in the #telehealth industry, providing 24/7/365 access to Board Certified  #doctors & #licensed therapists via secure phone, video, & app.","http://t.co/k9zwh4w5wJ",FALSE,3006,800,148,1503,630,2013-01-16 22:33:39,FALSE,"http://t.co/k9zwh4w5wJ","http://www.mdlive.com","en","https://pbs.twimg.com/profile_banners/1096548199/1551879667","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1006958323596513280/uul-dOyH_normal.jpg",,
