"Name","Latitude","Longitude"
"nolanolegal",,
"RosaGoesDigital",,
"flcvolga",,
"SleepNLungDocs",,
"NewsLeaderNOW",,
"Medisleman",,
"MedscapeNurses",,
"Pharmacy_Today",,
"moniquecalello",,
"MySMFM",,
"CenterpointH",,
"PatientCareUBM",,
"SalinaPost",,
"NatGeoEducation",,
"sandyjimenez",,
"Dana_DeVeste",,
"nidiatrovao",,
"Knowitall",,
"sabinvaccine",,
"HelenAnn16",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"outbreaksci",,
"ndconnell",,
"TopTrending18",,
"mikewaltercgtn",,
"KatieJeffress",,
"crshearn",,
"wirsindwho",,
"DanielBenway",,
"DvVID_MUSIC",,
"BayArea247News",,
"littlecooper763",,
"_alyssamwhite",,
"650_922",,
"stevekemple_inc",,
"courtneycrum",39.9946835,-82.98577205
"TakeThatCDC",,
"TakeThatCDC",,
"TakeThatCDC",,
"TakeThatCDC",,
"TakeThatCDC",,
"TakeThatCDC",,
"TakeThatCDC",,
"JohnReed_1917",47.7923617,-122.3459171
"VMahree",,
"MalibuStacyMPH",,
"MalibuStacyMPH",,
"CossaGemstone",,
"jcfrinak",,
"Nightwatch_Dan",,
"thoughtoflexi",27.698682,-83.804475
"kraydiomusic",,
"mmw_lmw",,
"mmw_lmw",,
"mmw_lmw",,
"mmw_lmw",,
"mmw_lmw",,
"InsideVaccines",,
"omgdalton",,
"omgdalton",,
"omgdalton",,
"tjggmueller",,
"tjggmueller",41.9382285,-93.38986395
"tjggmueller",,
"CleanPlanes",,
"SMcKenzie8434",,
"mexusmx",,
"NoahProoval",,
"NoahProoval",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"AlaskanCourtney",,
"tstanbrough",,
"MouradDaoubi",,
"winonahealth",,
"winonahealth",,
"rachela9",,
"ElbertGuillory",,
"sweetgeekmomma",,
"cheomitII",,
"HeatherLupu",,
"Dani_Chan13",,
"CountyButler",,
"richardbond76",,
"MarJerge",,
"seairacheyann",,
"ViraBurnayeva",,
"ViraBurnayeva",,
"ViraBurnayeva",,
"ViraBurnayeva",,
"ViraBurnayeva",,
"ViraBurnayeva",,
"markdotgooley",,
"tmschultzy",,
"itsahotdogtree",,
"hashtag_big",,
"hashtag_big",,
"DarrMakesGames",,
"bennett_114",,
"Clarksville_TN",,
"MAFTC",,
"SwineCast",,
"MikeQuetsch",,
"cIeanster",,
"leaconner",,
"JewdawgYung09",,
"JewdawgYung09",,
"cenmag",,
"cenmag",,
"KatieJo512",,
"KatieJo512",,
"OrganicLiveFood",,
"OrganicLiveFood",,
"AodKaykay",,
"ptmc21",,
"rjhomer57",41.39347,-72.9209165
"giulioiacoviel",,
"LoriRuder",,
"SciSeek",,
"Ayevisualz610",,
"jacobysmom2",,
"WebMD",,
"WebMD",,
"WebMD",,
"StephTweetChat",,
"jcl122",,
"UMN_swine_group",,
"UMN_swine_group",,
"UMN_swine_group",,
"InThePastLane",,
"InThePastLane",,
"achilles254",,
"achilles254",,
"achilles254",,
"CurableSmoothie",,
"JackGarcia66",,
"angenola",,
"SylvieDParris",,
"MayoProceedings",,
"MayoProceedings",,
"MayoProceedings",,
"awraynor",34.9499645,-81.9402982
"SFGate",,
"drpatfarrell",,
"realcolinquinn",,
"tuskakuolema",,
"Rocketman46",,
"Rocketman46",,
"GroundCuriosity",,
"HealthThorough",,
"CoriG98",,
"kylepholmes",,
"noceurion",,
"mybohosoul",,
"sheenakgraham",,
"TheGiantCassatt",,
"jssckr",,
"F0xsyLady",,
"K_Yoho",,
"joecool20001",,
"redheadmom8",,
"CfMatzke",,
"only1TYonce",,
"daninomowry",41.6989405,-71.43667
"olga_02138",,
"Gimpmaker",,
"aalfarok",,
"KhuraseeK",,
"Lloyd_Lynn",,
"Nevada",,
"AngelMarthell",,
"sophpeezy",,
"InvestWatchBlog",,
"KatherineHeise",,
"BeckySueToo",,
"wilsonconews",,
"willkuby",,
"AbbiCousins03",,
"messybedroom",,
"Chualland",,
"VivanArchos",,
"englishroom130",,
"DangerDola",,
"KyleNapelbaum",26.46240234,-80.1501987
"MannaMacDonald",,
"clowen77",46.4418605,-93.3613205
"dpsav",,
"SamanthaRosse",,
"BradMD",,
"emilydcline",,
"gfberner",,
"gfberner",,
"MHBeasleyMD",42.57900275,-83.14804355
"wooden_files",,
"jasoncaston",,
"del_chen",33.71401126,-117.81615272
"AustinTider",,
"kathe_nettles",27.698682,-83.804475
"Aliciarenee0025",,
"Aliciarenee0025",,
"GlobalBioD",,
"Cox_Cu",41.5578115,-90.4693134
"KieranEleison",,
"thelonevirologi",,
"thelonevirologi",,
"thelonevirologi",,
"thelonevirologi",,
"thelonevirologi",,
"thelonevirologi",,
"cakudel727",,
"GayLibMan",,
"el_yardo",,
"el_yardo",,
"ShiffrinJoyce",,
"LifeSciencesPA",,
"shabbyandposh",,
"311tessa",,
"ashbashniv",,
"dailysignout",,
"DrLahita",41.02753725,-74.0979445
"BeckyJohnson222",36.6258064,-121.82506
"realtalkmatty",,
"RushMedical",,
"AnnChahroudi",,
"GodKingNobody",39.7393005,-89.2665075
"jzilla75",,
"TracieeStafford",,
"smokenashes911",,
"guapnauman",45.53640175,-122.63090815
"D1Overson",,
"mamamcgee83",,
"RachelAzzara",,
"qrisjin",,
"weedgirl24",,
"weedgirl24",,
"pipandbaby",41.297423,-72.45536955
"pipandbaby",41.297423,-72.45536955
